weather,fold,test_start,model,MAE_MW
none,1,2019-01-01,ridge,2046.0498002551587
none,1,2019-01-01,gbm,1276.1526572314901
none,1,2019-01-01,mlp,1191.076974337823
none,2,2019-07-01,ridge,1826.1641148170506
none,2,2019-07-01,gbm,1024.125641050908
none,2,2019-07-01,mlp,1089.1868729559044
none,3,2020-01-01,ridge,1903.1710865539721
none,3,2020-01-01,gbm,1301.386709207434
none,3,2020-01-01,mlp,1493.681144040848
none,4,2020-07-01,ridge,1381.2073258618634
none,4,2020-07-01,gbm,959.7864851681579
none,4,2020-07-01,mlp,985.0190533985474
